Total Revenue,OrderYear,Category,Total Units,Median Price per Unit
$156478,2015,Furniture,414,$182.86
$149513,2015,Office Supplies,1192,$25.54
$173866,2015,Technology,347,$199.98
$164054,2016,Furniture,440,$191.67
$133124,2016,Office Supplies,1210,$27.22
$162258,2016,Technology,405,$199.96
$195813,2017,Furniture,547,$187.06
$182418,2017,Office Supplies,1537,$29.72
$221962,2017,Technology,450,$166.44
$212314,2018,Furniture,677,$171.29
$240368,2018,Office Supplies,1970,$27.16
$269371,2018,Technology,611,$151.19
