Segment,Category ,Sub-Category,Total Revenue,Total Units,AOV
Home Office,Furniture,Bookcases,$11858,32,$382.51
Home Office,Furniture,Chairs,$56445,100,$575.97
Home Office,Furniture,Furnishings,$16508,172,$102.53
Home Office,Furniture,Tables,$35829,53,$716.59
Home Office,Office Supplies,Appliances,$18081,66,$273.95
Home Office,Office Supplies,Art,$4117,148,$30.27
Home Office,Office Supplies,Binders,$32930,263,$142.55
Home Office,Office Supplies,Envelopes,$2699,40,$69.20
Home Office,Office Supplies,Fasteners,$544,42,$12.94
Home Office,Office Supplies,Labels,$1675,73,$25.38
Home Office,Office Supplies,Paper,$17820,262,$81.74
Home Office,Office Supplies,Storage,$42585,132,$337.97
Home Office,Office Supplies,Supplies,$1489,28,$53.19
Home Office,Technology,Accessories,$31895,137,$238.02
Home Office,Technology,Copiers,$32880,13,$2529.20
Home Office,Technology,Machines,$49419,23,$2246.32
Home Office,Technology,Phones,$68209,162,$460.87
Corporate,Furniture,Bookcases,$34006,64,$531.34
Corporate,Furniture,Chairs,$95203,183,$556.74
Corporate,Furniture,Furnishings,$23979,278,$95.16
Corporate,Furniture,Tables,$67133,103,$685.03
Corporate,Office Supplies,Appliances,$34170,153,$229.33
Corporate,Office Supplies,Art,$8526,214,$42.63
Corporate,Office Supplies,Binders,$50007,460,$129.22
Corporate,Office Supplies,Envelopes,$5798,81,$73.39
Corporate,Office Supplies,Fasteners,$783,59,$13.51
Corporate,Office Supplies,Labels,$4062,100,$41.87
Corporate,Office Supplies,Paper,$23409,400,$65.39
Corporate,Office Supplies,Storage,$77975,256,$334.66
Corporate,Office Supplies,Supplies,$19400,60,$328.81
Corporate,Technology,Accessories,$46593,219,$231.81
Corporate,Technology,Copiers,$46829,20,$2341.47
Corporate,Technology,Machines,$60277,35,$1772.85
Corporate,Technology,Phones,$90343,268,$370.26
Consumer,Furniture,Bookcases,$67949,130,$535.03
Consumer,Furniture,Chairs,$171174,324,$576.34
Consumer,Furniture,Furnishings,$48725,481,$110.24
Consumer,Furniture,Tables,$99848,158,$648.36
Consumer,Office Supplies,Appliances,$52367,240,$228.68
Consumer,Office Supplies,Art,$14062,423,$36.62
Consumer,Office Supplies,Binders,$117092,769,$173.99
Consumer,Office Supplies,Envelopes,$7632,127,$61.05
Consumer,Office Supplies,Fasteners,$1675,113,$14.96
Consumer,Office Supplies,Labels,$6611,184,$37.35
Consumer,Office Supplies,Paper,$35600,676,$60.65
Consumer,Office Supplies,Storage,$98783,444,$243.91
Consumer,Office Supplies,Supplies,$25531,96,$271.61
Consumer,Technology,Accessories,$85699,400,$233.51
Consumer,Technology,Copiers,$66539,33,$2016.34
Consumer,Technology,Machines,$79543,57,$1420.41
Consumer,Technology,Phones,$169231,446,$411.75
